safeName,item,itemLabel,deaths,starttime,endtime,pointintime
Awa'uqMassacre,http://www.wikidata.org/entity/Q2367644,Awa'uq Massacre,3000,,,1784-08-14T00:00:00Z
September11attacks,http://www.wikidata.org/entity/Q10806,September 11 attacks,2996,,,2001-09-11T00:00:00Z
КланевГютелимахле,http://www.wikidata.org/entity/Q61984612,Клане в Гютели махле,2400,,,1877-07-14T00:00:00Z
Glinamassacres,http://www.wikidata.org/entity/Q1290410,Glina massacres,2394,,,1941-05-12T00:00:00Z
CampSpeichermassacre,http://www.wikidata.org/entity/Q17199280,Camp Speicher massacre,1600,,,2014-06-12T00:00:00Z
August2013Ghoutachemicalattack,http://www.wikidata.org/entity/Q14626794,August 2013 Ghouta chemical attack,1429,,,2013-08-21T00:00:00Z
Ագուլիսիջարդեր,http://www.wikidata.org/entity/Q86192668,Ագուլիսի ջարդեր,1400,,,1919-12-24T00:00:00Z
Ganghwamassacre,http://www.wikidata.org/entity/Q496095,Ganghwa massacre,1300,,,1951-01-06T00:00:00Z
TransportandmurderofBiałystokchildren,http://www.wikidata.org/entity/Q56685959,Transport and murder of Białystok children,1200,,,1943-01-01T00:00:00Z
ZbrodnienapacjentachwPaństwowymZakładziedlaUmysłowoiNerwowoChorychwKobierzynie,http://www.wikidata.org/entity/Q68458380,Zbrodnie na pacjentach w Państwowym Zakładzie dla Umysłowo i Nerwowo Chorych w Kobierzynie,1000,,,1942-06-23T00:00:00Z
Yelwamassacre,http://www.wikidata.org/entity/Q3297470,Yelwa massacre,1000,,,2004-01-01T00:00:00Z
Marichjhapimassacre,http://www.wikidata.org/entity/Q6762569,Marichjhapi massacre,1000,,,1979-01-01T00:00:00Z
Страшното,http://www.wikidata.org/entity/Q61118876,Страшното,800,,,1877-07-20T00:00:00Z
Marzabottomassacre,http://www.wikidata.org/entity/Q704206,Marzabotto massacre,770,,,1944-10-05T00:00:00Z
massacreofButrimonys,http://www.wikidata.org/entity/Q2441042,massacre of Butrimonys,740,,,1941-09-09T00:00:00Z
Geochangmassacre,http://www.wikidata.org/entity/Q491018,Geochang massacre,719,,,1951-02-09T00:00:00Z
Sancheong-Hamyangmassacre,http://www.wikidata.org/entity/Q496145,Sancheong-Hamyang massacre,705,,,1951-02-07T00:00:00Z
massacreofOradour-sur-Glane,http://www.wikidata.org/entity/Q836897,massacre of Oradour-sur-Glane,642,,,1944-06-10T00:00:00Z
KhojalyMassacre,http://www.wikidata.org/entity/Q218446,Khojaly Massacre,613,,,1992-02-26T00:00:00Z
Weenenmassacre,http://www.wikidata.org/entity/Q1464154,Weenen massacre,530,,,1838-02-17T00:00:00Z
MyLaiMassacre,http://www.wikidata.org/entity/Q183421,My Lai Massacre,504,,,1968-03-16T00:00:00Z
