item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q6408274,Kilvenmani massacre,44,1968-12-25T00:00:00Z
http://www.wikidata.org/entity/Q2613862,Voćin massacre,43,1991-12-13T00:00:00Z
http://www.wikidata.org/entity/Q61732241,2019 Pulwama attack,41,2019-02-14T00:00:00Z
http://www.wikidata.org/entity/Q1587362,Ćuška massacre,41,1999-05-14T00:00:00Z
http://www.wikidata.org/entity/Q56491645,Masacrul de la Beliș,41,1918-11-08T00:00:00Z
http://www.wikidata.org/entity/Q4594742,1999 Grozny refugee convoy shooting,40,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20295077,2015 Sousse attack,39,2015-06-26T00:00:00Z
http://www.wikidata.org/entity/Q2134739,Moiwana massacre,39,1986-11-29T00:00:00Z
http://www.wikidata.org/entity/Q28094271,2017 Istanbul nightclub attack,39,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1824714,Tulsa Massacre,39,1921-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1254804,massacre of Glencoe,38,1692-02-12T00:00:00Z
http://www.wikidata.org/entity/Q18720403,2015 Sana'a bombing,38,2015-01-07T00:00:00Z
http://www.wikidata.org/entity/Q2406819,Glinciszki massacre,37,1944-06-20T00:00:00Z
http://www.wikidata.org/entity/Q20870041,Denmark Place fire,37,1980-08-16T00:00:00Z
http://www.wikidata.org/entity/Q23045905,March 2016 Ankara bombing,37,2016-03-13T00:00:00Z
http://www.wikidata.org/entity/Q897808,Sivas massacre,37,1993-07-02T00:00:00Z
http://www.wikidata.org/entity/Q3505714,Životická tragédie,36,1944-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2357517,Port Arthur massacre,35,1996-04-28T00:00:00Z
http://www.wikidata.org/entity/Q4632559,27 October 2003 Baghdad bombings,35,2003-10-27T00:00:00Z
http://www.wikidata.org/entity/Q4858038,Bara Massacre,35,1992-02-13T00:00:00Z
http://www.wikidata.org/entity/Q303059,Thiaroye Massacre,35,1944-12-01T00:00:00Z
http://www.wikidata.org/entity/Q65640303,Kyoto Animation arson attack,35,2019-07-18T00:00:00Z
http://www.wikidata.org/entity/Q23365300,2016 Brussels bombings,35,2016-03-22T00:00:00Z
http://www.wikidata.org/entity/Q21573363,Port Arthur massacre (Australia),35,1996-04-28T00:00:00Z
http://www.wikidata.org/entity/Q23365300,2016 Brussels bombings,34,2016-03-22T00:00:00Z
http://www.wikidata.org/entity/Q3671565,Uludere airstrike,34,2011-12-28T00:00:00Z
http://www.wikidata.org/entity/Q5348566,Ehden massacre,34,1978-06-13T00:00:00Z
http://www.wikidata.org/entity/Q188799,Virginia Tech shooting,33,2007-04-16T00:00:00Z
http://www.wikidata.org/entity/Q20685047,2015 Suruç bombing,33,2015-07-20T00:00:00Z
http://www.wikidata.org/entity/Q5518640,Galimpur massacre,33,1971-05-20T00:00:00Z
http://www.wikidata.org/entity/Q63992999,Masacre de Socos,32,1983-12-13T00:00:00Z
http://www.wikidata.org/entity/Q1144602,Sumgait pogrom,32,1988-03-01T00:00:00Z
http://www.wikidata.org/entity/Q11785455,Borów massacre,31,1943-08-09T00:00:00Z
http://www.wikidata.org/entity/Q11802141,Zanie and Szpaki massacre,31,1946-02-01T00:00:00Z
http://www.wikidata.org/entity/Q15856657,2014 Kunming attack,31,2014-03-01T00:00:00Z
http://www.wikidata.org/entity/Q3476414,"Amsterdam shooting on the Dam, 7 May 1945",31,1945-05-07T00:00:00Z
http://www.wikidata.org/entity/Q76515992,Masacre de Cayara,31,1988-05-14T00:00:00Z
http://www.wikidata.org/entity/Q84599740,Nakhon Ratchasima shooting,30,2020-02-08T00:00:00Z
http://www.wikidata.org/entity/Q11785457,Puchały Stare massacre,30,1946-01-31T00:00:00Z
http://www.wikidata.org/entity/Q22082207,2016 Ouagadougou attacks,30,2016-01-16T00:00:00Z
http://www.wikidata.org/entity/Q1783157,Cave of the Patriarchs massacre,29,1994-02-25T00:00:00Z
http://www.wikidata.org/entity/Q84599740,Nakhon Ratchasima shooting,29,2020-02-08T00:00:00Z
http://www.wikidata.org/entity/Q19688939,strage di Corrubbio,29,1945-04-25T00:00:00Z
http://www.wikidata.org/entity/Q1770923,Bisho massacre,29,1992-09-07T00:00:00Z
http://www.wikidata.org/entity/Q906933,Sandy Hook Elementary School shooting,28,2012-12-14T00:00:00Z
http://www.wikidata.org/entity/Q1154073,Lod Airport massacre,28,1972-05-30T00:00:00Z
http://www.wikidata.org/entity/Q1785309,Myall Creek Massacre,28,1838-06-10T00:00:00Z
http://www.wikidata.org/entity/Q12276145,Гарванско клане,28,1923-03-02T00:00:00Z
http://www.wikidata.org/entity/Q25250323,"2016 Gulshan, Dhaka attack",28,2016-07-01T00:00:00Z
