item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q3149853,fire of the Mont Blanc tunnel,39,1999-03-24T00:00:00Z,1999-03-26T00:00:00Z
http://www.wikidata.org/entity/Q27989961,Cyclone Vardah,38,2016-12-06T00:00:00Z,2016-12-13T00:00:00Z
http://www.wikidata.org/entity/Q5599949,1815 New England hurricane,38,1815-09-22T00:00:00Z,1815-09-24T00:00:00Z
http://www.wikidata.org/entity/Q65640303,Kyoto Animation arson attack,35,2019-07-18T00:00:00Z,2019-07-18T00:00:00Z
http://www.wikidata.org/entity/Q15456623,December 2013 Volgograd bombings,34,2013-12-29T00:00:00Z,2013-12-30T00:00:00Z
http://www.wikidata.org/entity/Q21035207,Hurricane Joaquin,34,2015-09-28T00:00:00Z,2015-10-15T00:00:00Z
http://www.wikidata.org/entity/Q19801792,2015 Russian wildfires,33,2015-04-12T00:00:00Z,2015-04-16T00:00:00Z
http://www.wikidata.org/entity/Q16879871,2014 Southeast Europe floods,33,2014-05-13T00:00:00Z,2014-05-27T00:00:00Z
http://www.wikidata.org/entity/Q54099401,2018 Democratic Republic of the Congo Ebola virus outbreak,33,2018-05-08T00:00:00Z,2018-07-24T00:00:00Z
http://www.wikidata.org/entity/Q56552345,Hurricane Florence,32,2018-08-31T00:00:00Z,2018-09-19T00:00:00Z
http://www.wikidata.org/entity/Q62779480,2019 Sichuan wildfire,31,2019-03-30T00:00:00Z,2019-04-02T00:00:00Z
http://www.wikidata.org/entity/Q10844016,Q10844016,31,1988-01-01T00:00:00Z,1988-05-01T00:00:00Z
http://www.wikidata.org/entity/Q16347936,Q16347936,30,1969-11-01T00:00:00Z,1969-11-04T00:00:00Z
http://www.wikidata.org/entity/Q17462908,2014 Kaohsiung gas explosion,30,2014-07-31T00:00:00Z,2014-08-01T00:00:00Z
http://www.wikidata.org/entity/Q4622783,2011 United States listeriosis outbreak,30,2011-07-31T00:00:00Z,2011-12-08T00:00:00Z
http://www.wikidata.org/entity/Q54099401,2018 Democratic Republic of the Congo Ebola virus outbreak,29,2018-05-08T00:00:00Z,2018-07-24T00:00:00Z
http://www.wikidata.org/entity/Q16879871,2014 Southeast Europe floods,27,2014-05-13T00:00:00Z,2014-05-27T00:00:00Z
http://www.wikidata.org/entity/Q1514764,Cyclone Klaus,26,2009-01-23T00:00:00Z,2009-01-28T00:00:00Z
http://www.wikidata.org/entity/Q37708935,Typhoon Hato,26,2017-08-19T00:00:00Z,2017-08-24T00:00:00Z
http://www.wikidata.org/entity/Q13415210,2013 European floods,25,2013-05-28T00:00:00Z,2013-06-01T00:00:00Z
http://www.wikidata.org/entity/Q20888767,Tropical Storm Erika,25,2015-08-25T00:00:00Z,2015-08-29T00:00:00Z
http://www.wikidata.org/entity/Q86440638,1973 Italy cholera outbreak,24,1973-08-20T00:00:00Z,1973-10-01T00:00:00Z
http://www.wikidata.org/entity/Q87013295,"Tornado outbreak of March 2–3, 2020",24,2020-03-02T00:00:00Z,2020-03-03T00:00:00Z
http://www.wikidata.org/entity/Q24805491,2016 West Virginia flood,23,2016-06-23T00:00:00Z,2016-06-24T00:00:00Z
http://www.wikidata.org/entity/Q27906759,Hurricane Otto,23,2016-11-17T00:00:00Z,2016-11-26T00:00:00Z
http://www.wikidata.org/entity/Q27906759,Hurricane Otto,23,2016-11-20T00:00:00Z,2016-11-26T00:00:00Z
http://www.wikidata.org/entity/Q4610706,2008 Canada listeriosis outbreak,23,2008-08-01T00:00:00Z,2008-12-01T00:00:00Z
http://www.wikidata.org/entity/Q4554156,1821 Norfolk and Long Island hurricane,22,1821-09-01T00:00:00Z,1821-09-04T00:00:00Z
